x,y,z
1.31351,0.996671,3.04023
1.34281,1.01664,3.0411
1.34281,1.01664,3.0411
1.34281,1.01664,3.0411
1.34281,1.01664,3.0411
1.3725,1.0368,3.04195
1.3725,1.0368,3.04195
1.3725,1.0368,3.04195
1.3725,1.0368,3.04195
1.3725,1.0368,3.04195
1.44068,1.0829,3.04385
1.44068,1.0829,3.04385
1.47161,1.10371,3.04467
1.47161,1.10371,3.04467
1.47161,1.10371,3.04467
1.50292,1.12472,3.04546
1.50292,1.12472,3.04546
1.5346,1.14591,3.04623
1.5346,1.14591,3.04623
1.56667,1.1673,3.04699
1.56667,1.1673,3.04699
1.56667,1.1673,3.04699
1.59911,1.18887,3.04771
1.59911,1.18887,3.04771
1.59911,1.18887,3.04771
1.63606,1.21335,3.04852
1.63606,1.21335,3.04852
1.66931,1.23531,3.04921
1.66931,1.23531,3.04921
1.70293,1.25745,3.04989
1.70293,1.25745,3.04989
1.70293,1.25745,3.04989
1.70293,1.25745,3.04989
1.70293,1.25745,3.04989
1.75837,1.29381,3.05095
1.75837,1.29381,3.05095
1.75837,1.29381,3.05095
1.75837,1.29381,3.05095
1.8148,1.33061,3.05196
1.8148,1.33061,3.05196
1.8148,1.33061,3.05196
1.85444,1.35636,3.05263
1.85444,1.35636,3.05263
1.89006,1.37942,3.0532
1.89006,1.37942,3.0532
1.89006,1.37942,3.0532
1.92606,1.40264,3.05377
1.92606,1.40264,3.05377
1.92606,1.40264,3.05377
1.967,1.42896,3.05441
1.967,1.42896,3.05441
2.00378,1.45253,3.05496
2.00378,1.45253,3.05496
2.04093,1.47625,3.05551
2.04093,1.47625,3.05551
2.04093,1.47625,3.05551
2.07846,1.50013,3.05604
2.07846,1.50013,3.05604
2.07846,1.50013,3.05604
2.07846,1.50013,3.05604
2.07846,1.50013,3.05604
2.07846,1.50013,3.05604
2.15943,1.55137,3.05711
2.15943,1.55137,3.05711
2.15943,1.55137,3.05711
2.21758,1.58794,3.05782
2.21758,1.58794,3.05782
2.21758,1.58794,3.05782
2.26174,1.61559,3.05833
2.26174,1.61559,3.05833
2.26174,1.61559,3.05833
2.30635,1.64341,3.05881
2.30635,1.64341,3.05881
2.34639,1.66828,3.05924
2.34639,1.66828,3.05924
2.34639,1.66828,3.05924
2.39187,1.69643,3.05972
2.39187,1.69643,3.05972
2.39187,1.69643,3.05972
2.39187,1.69643,3.05972
2.45838,1.73738,3.06038
2.45838,1.73738,3.06038
2.45838,1.73738,3.06038
2.49979,1.76276,3.06078
2.49979,1.76276,3.06078
2.49979,1.76276,3.06078
2.54156,1.78826,3.06116
2.54156,1.78826,3.06116
2.54156,1.78826,3.06116
2.59428,1.82031,3.06165
2.59428,1.82031,3.06165
2.59428,1.82031,3.06165
2.65293,1.85579,3.06218
2.65293,1.85579,3.06218
2.65293,1.85579,3.06218
2.69602,1.88174,3.06255
2.69602,1.88174,3.06255
2.69602,1.88174,3.06255
2.76134,1.92088,3.06309
2.76134,1.92088,3.06309
2.76134,1.92088,3.06309
